disease,id
Breast Cancer,0
Esophageal Cancer,1
Prostate Cancer,2
Hepatocellular Carcinoma,3
Colorectal Cancer,4
Glioma,5
Colon Cancer,6
Ovarian Cancer,7
Gastric Cancer,8
Rheumatoid Arthritis,9
Hepatitis C,10
Pancreatic Ductal Adenocarcinoma,11
Primary Ovarian Insufficiency,12
Cerebral Cavernous Malformation,13
Alzheimer Disease,14
Malignant Glioma,15
Bone Cancer Pain,16
Acute Promyelocytic Leukemia,17
Cardiovascular Disease,18
Uterine Leiomyoma,19
Clear Cell Renal Cell Carcinoma,20
Non-Small Cell Lung Cancer,21
Malignant Pleural Mesothelioma,22
Lung Cancer,23
Glioblastoma,24
West Nile Virus Infection,25
Osteoporosis,26
Anaphylaxis,27
Lung Carcinoma,28
Prostate Neoplasm,29
HHV-6B,30
Prostate Carcinoma,31
Melanoma,32
Osteosarcoma,33
Lung Non-Small Cell Carcinoma,34
Canine Oral Melanoma,35
Epstein-Barr Virus Infection,36
Diffuse Intrinsic Pontine Glioma,37
Malaria,38
Acute Myeloid Leukemia,39
Heart Failure,40
Gastric Carcinoma,41
B-Cell Lymphoma,42
Papillary Thyroid Carcinoma,43
Endothelial Cell Inflammation,44
Canine Mast Cell Tumours,45
Adenocarcinoma,46
Head And Neck Squamous Cell Carcinoma,47
Cancer,48
Fetal Growth Restriction,49
High Grade Dysplastic Nodule,50
Intracranial Aneurysm,51
Ameloblastoma,52
Low Grade Dysplastic Nodule,53
Liver Cirrhosis,54
Early Hepatocellular Carcinoma,55
Hypertension,56
Diabetic Peripheral Neuropathy,57
Hyperlipidemia,58
Multiple Sclerosis,59
Tuberculosis,60
Lung Adenocarcinoma,61
Dysregulated Immunity,62
Cartilage Disease,63
Bladder Carcinoma,64
Bladder Cancer,65
Diffuse Large B-Cell Lymphoma,66
Sarcoma,67
Pancreatic Cancer,68
Traumatic Brain Injury,69
Systemic Lupus Erythematosus,70
Psoriatic Arthritis,71
Oral Squamous Cell Carcinoma,72
Osteoarthritis,73
COVID-19,74
Adult Acute Myeloid Leukemia,75
Cervical Cancer,76
Colon Adenocarcinoma,77
Prader-Willi Syndrome,78
Wart,79
Autism Spectrum Disorder,80
Astrocytoma,81
Chronic Lymphocytic Leukemia,82
Bronchopulmonary Dysplasia,83
