snoRNA,id
SNORD116-1,0
SNORD116-2,1
SNORD116-3,2
SNORD116-4,3
SNORD116-5,4
SNORD116-6,5
SNORD116-9,6
SNORD116-14,7
SNORD116-15,8
SNORD116-16,9
SNORD116-20,10
SNORD116-21,11
SNORD116-22,12
SNORD116-23,13
SNORD116-24,14
SNORD116-25,15
SNORD115-2,16
SNORD116-27,17
SNORD115-8,18
SNORD115-10,19
SNORD115-13,20
SNORD115-15,21
SNORD115-16,22
SNORD115-21,23
SNORD115-23,24
SNORD115-31,25
SNORD115-32,26
SNORD115-33,27
SNORD115-40,28
SNORD115-42,29
SNORD116-28,30
SNORD116-29,31
SNORD115-28,32
SNORD119,33
SNORD121A,34
SNORD125,35
SNORD19B,36
SNORD105B,37
SNORD123,38
SNORD127,39
SNORD126,40
SNORD11B,41
SNORD12B,42
SNORD111B,43
SNORD58C,44
SNORA36C,45
SNORA70B,46
SNORA70C,47
SNORA11B,48
SNORA11C,49
Snord90,50
Snord16a,51
SNORA80B,52
SNORA70F,53
SNORA70D,54
SNORA70E,55
SNORA11E,56
SNORD124,57
SNORD121B,58
SNORD15B,59
AF357428,60
SNORD83A,61
SNORD83B,62
SNORD82,63
SNORD12C,64
RNU105B,65
SNORA73B,66
SNORD81,67
SNORD79,68
SNORD102,69
SNORD4B,70
SNORD4A,71
SNORD80,72
SNORA72,73
SNORA71B,74
SNORA71A,75
SNORA70,76
SNORA69,77
SNORA68,78
SNORA67,79
SNORA66,80
SNORA65,81
SNORA64,82
SNORD63,83
SNORD62A,84
SNORD61,85
SNORD60,86
SNORD59A,87
SNORD58B,88
SNORD58A,89
SNORD57,90
SNORD56,91
SNORD54,92
SNORD53,93
SNORD52,94
SNORD51,95
SNORD50A,96
SNORD49A,97
SNORD48,98
SNORD47,99
SNORD45B,100
SNORD45A,101
SNORD44,102
SNORD43,103
SNORD42B,104
SNORD42A,105
SNORD41,106
SNORD55,107
SNORD37,108
SNORD36C,109
SNORD36B,110
SNORD36A,111
SNORD35A,112
SNORD34,113
SNORD33,114
SNORD32A,115
SNORD24,116
SNORA74A,117
SNORD14A,118
SNORD3P3,119
SNORD3B-1,120
SNORD8,121
SNORD108,122
SNORD64,123
AF357425,124
SNORA6,125
SNORD101,126
SNORD100,127
SNORA33,128
SNORD16,129
SNORD18A,130
SNORD18B,131
SNORD18C,132
SNORA63,133
SNORA62,134
SNORD68,135
SNORD15A,136
SNORA73A,137
SNORD20,138
SNORD21,139
SNORD74,140
SNORA27,141
SNORA21,142
SNORA3A,143
SNORA7A,144
SNORD72,145
SNORA52,146
SNORD2,147
SNORA4,148
SNORA41,149
SNORD95,150
SNORD96A,151
SNORD87,152
SNORA48,153
SNORD10,154
SNORA5A,155
SNORA8,156
SNORA75,157
SNORA13,158
SNORA1,159
SNORA2B,160
SNORA5B,161
SNORA5C,162
SNORA7B,163
SNORA9,164
SNORA12,165
