snoRNA_id,disease_id,rating
301,0,1
277,71,1
406,80,1
88,13,1
304,45,1
217,13,1
313,0,1
297,44,1
304,11,1
366,6,1
233,29,1
309,13,1
422,80,1
154,32,1
87,0,1
320,75,1
141,21,1
246,11,1
358,78,1
36,12,1
189,19,1
104,3,1
118,10,1
150,13,1
66,13,1
242,4,1
368,8,1
234,9,1
248,0,1
318,74,1
64,15,1
218,0,1
470,0,1
297,0,1
261,49,1
87,9,1
431,80,1
272,11,1
231,0,1
245,10,1
188,4,1
259,27,1
245,5,1
204,0,1
293,3,1
143,19,1
367,26,1
314,28,1
437,27,1
264,11,1
235,63,1
258,55,1
2,0,1
170,4,1
238,4,1
342,33,1
143,21,1
117,19,1
262,0,1
315,0,1
283,3,1
49,23,1
366,26,1
310,11,1
374,7,1
169,33,1
460,4,1
54,18,1
133,18,1
344,37,1
317,0,1
325,4,1
316,0,1
131,11,1
164,0,1
135,13,1
72,0,1
98,13,1
331,4,1
194,18,1
187,21,1
73,32,1
173,32,1
380,7,1
297,27,1
252,66,1
96,27,1
377,36,1
326,38,1
363,6,1
58,0,1
164,19,1
183,21,1
184,18,1
242,15,1
290,63,1
314,0,1
247,4,1
87,3,1
101,0,1
81,4,1
177,15,1
206,0,1
114,48,1
46,20,1
83,13,1
270,0,1
82,10,1
257,11,1
384,80,1
245,4,1
35,0,1
112,5,1
307,61,1
41,11,1
134,19,1
236,5,1
96,13,1
37,14,1
216,0,1
261,11,1
284,0,1
0,1,1
374,26,1
174,18,1
228,0,1
96,40,1
338,32,1
255,3,1
333,33,1
214,18,1
369,6,1
207,4,1
50,10,1
71,10,1
224,29,1
240,15,1
170,21,1
40,16,1
292,0,1
112,32,1
382,6,1
202,20,1
369,26,1
47,20,1
78,34,1
438,27,1
258,32,1
393,80,1
0,0,1
164,20,1
168,18,1
3,1,1
43,13,1
123,52,1
53,19,1
137,20,1
10,1,1
299,0,1
77,32,1
153,20,1
276,0,1
140,34,1
451,24,1
310,33,1
356,33,1
226,27,1
45,19,1
94,38,1
52,21,1
234,10,1
79,18,1
159,15,1
360,49,1
227,0,1
239,0,1
437,67,1
53,21,1
8,1,1
12,1,1
56,19,1
109,13,1
250,13,1
304,0,1
209,4,1
157,4,1
174,15,1
374,8,1
245,39,1
413,80,1
351,61,1
232,36,1
453,24,1
217,18,1
174,20,1
73,4,1
135,3,1
461,0,1
256,5,1
340,33,1
123,3,1
179,0,1
411,81,1
201,19,1
147,27,1
