snoRNA_id,disease_id,ass
328,48,1
293,49,1
300,48,1
21,4,1
237,8,1
415,59,1
235,8,1
272,13,1
315,53,1
131,77,1
72,34,1
258,8,1
358,66,1
281,54,1
0,0,1
162,8,1
266,62,1
311,55,1
327,61,1
32,14,1
283,55,1
1,59,1
80,18,1
277,53,1
171,8,1
317,55,1
133,13,1
143,64,1
172,8,1
375,3,1
132,8,1
446,78,1
11,8,1
4,2,1
79,18,1
270,8,1
342,59,1
316,48,1
207,8,1
8,11,1
288,50,1
404,13,1
83,62,1
345,13,1
204,8,1
381,66,1
435,11,1
5,10,1
266,8,1
109,51,1
343,63,1
321,51,1
78,25,1
285,53,1
161,37,1
92,18,1
14,8,1
114,8,1
131,8,1
135,62,1
326,48,1
49,18,1
82,18,1
145,8,1
12,3,1
119,23,1
464,63,1
372,13,1
281,53,1
209,69,1
83,51,1
323,48,1
63,59,1
101,18,1
208,62,1
314,59,1
269,51,1
233,40,1
88,21,1
15,19,1
177,59,1
342,58,1
271,23,1
347,66,1
193,23,1
139,8,1
34,14,1
375,4,1
310,59,1
15,3,1
198,3,1
442,24,1
407,0,1
150,39,1
346,13,1
141,13,1
211,3,1
38,8,1
8,61,1
241,8,1
330,67,1
158,13,1
116,8,1
465,66,1
298,55,1
200,64,1
277,54,1
180,23,1
46,23,1
188,6,1
259,8,1
352,11,1
23,12,1
89,18,1
243,8,1
155,8,1
177,55,1
421,72,1
100,23,1
115,20,1
124,8,1
314,48,1
110,13,1
14,13,1
13,2,1
285,54,1
273,23,1
132,59,1
13,0,1
264,8,1
286,50,1
34,3,1
275,3,1
206,62,1
219,62,1
6,3,1
407,6,1
261,8,1
5,8,1
351,25,1
147,24,1
385,66,1
148,8,1
72,3,1
261,13,1
51,0,1
370,59,1
68,18,1
81,8,1
85,8,1
435,61,1
177,8,1
46,63,1
158,59,1
87,18,1
351,3,1
334,55,1
332,8,1
348,68,1
428,62,1
149,13,1
256,17,1
395,63,1
148,39,1
286,54,1
197,51,1
7,26,1
85,0,1
163,8,1
340,66,1
184,8,1
310,51,1
93,18,1
99,18,1
340,64,1
46,19,1
406,61,1
7,0,1
259,4,1
85,59,1
151,23,1
281,55,1
168,51,1
185,72,1
295,61,1
110,27,1
439,66,1
73,18,1
84,18,1
333,63,1
359,61,1
206,2,1
422,59,1
316,11,1
331,48,1
301,66,1
128,59,1
69,3,1
178,62,1
5,3,1
431,9,1
28,3,1
385,61,1
100,19,1
72,23,1
424,47,1
42,18,1
186,62,1
81,25,1
18,7,1
51,19,1
344,66,1
16,15,1
344,64,1
372,58,1
56,18,1
463,25,1
88,66,1
147,62,1
190,4,1
4,76,1
121,24,1
324,61,1
122,8,1
194,38,1
47,59,1
425,63,1
322,50,1
230,59,1
355,11,1
249,38,1
243,59,1
429,11,1
45,19,1
114,25,1
299,50,1
186,59,1
255,14,1
120,8,1
378,61,1
104,18,1
311,50,1
459,3,1
102,23,1
255,8,1
422,62,1
86,51,1
138,66,1
152,69,1
119,8,1
114,48,1
374,11,1
408,79,1
221,8,1
363,73,1
309,66,1
46,17,1
303,57,1
335,61,1
377,59,1
410,66,1
0,51,1
6,3,1
378,3,1
195,69,1
296,53,1
34,59,1
201,75,1
205,8,1
209,8,1
159,8,1
301,59,1
458,3,1
234,0,1
235,59,1
314,66,1
35,14,1
391,11,1
169,17,1
109,59,1
313,8,1
277,50,1
358,4,1
115,2,1
291,66,1
250,62,1
138,8,1
90,18,1
115,62,1
175,8,1
186,8,1
339,25,1
159,59,1
121,8,1
423,13,1
