snoRNA,id
SNORD50B,0
SNORD50A,1
SNORD12B,2
SNORA71B,3
SNORD3A,4
SNORD126,5
SNORD78,6
SNORD44,7
SNORA57,8
SNORD16,9
SNORD12C,10
SNORD72,11
SNORA24,12
SNORD89,13
SNORD105B,14
SNORD52,15
SNORD76,16
SNORD3A-001,17
SNORA72,18
U2_19,19
SNORD22,20
SNORD123,21
aca59b,22
SNHGB8:1,23
SNORA70C,24
SNORD 113-1,25
SNORD113-3,26
SNORD115-32,27
SNORD113-1,28
SNORD93,29
SNORD114-22,30
SNORD81,31
U16 snoRNA,32
SNORD4A,33
Snord90,34
U14 snoRNA,35
SNORD114-10,36
AABR07031184.1,37
SNORD114-1,38
14q(ii-1),39
SNORD14B,40
SNO1472,41
SNO1563,42
SNO1408,43
SNO1426,44
SNORD36A,45
SNORD113,46
SNORD63,47
SNHG3-8,48
SNO1283,49
SNO1384,50
SNORD94,51
SNO1467,52
SNO1562,53
SNORA7A,54
SNORD96A,55
SNO1407,56
SNO1425,57
SNORA65,58
SNHG15-17,59
SNO1277,60
SNORD54,61
SNO1382,62
SNORD26,63
SNO1466,64
SNO1550,65
SNORA17B,66
SNO1405,67
SNO1417,68
SNORD49B,69
SNO1374,70
SNO1465,71
SNORD66,72
SNO1549,73
SNO1403,74
SNO1414,75
SNO1257,76
SNORD56,77
SNORD97,78
SNO1460,79
SNO1532,80
SNORA31,81
SNO1401,82
SNORD55,83
SNO1212,84
SNORD48,85
SNORD31,86
SNO1507,87
SNORA7B,88
SNO1399,89
SNO1413,90
SNO1458,91
SNO1210,92
SNO1291,93
SNO1394,94
SNO1502,95
SNORA52,96
SNO1409,97
SNO1457,98
SNO1209,99
SNORD114-17,100
SNO1290,101
SNORD73A,102
SNO1490,103
SNO1568,104
SNO1441,105
SNORD113-5,106
SNO1289,107
SNO1387,108
SNORD68,109
SNORD69,110
SNORD87,111
snoU2,112
U3_chr9_90989184_90989274,113
SNORA61,114
SNORD33,115
SNORA16A,116
SNORD8,117
SNORD19,118
SNORD4B,119
SNORD114-3,120
SNORD116-1,121
SNORD59A,122
SNORD114-15,123
SNORD119,124
SNORD53,125
SNORD114-25,126
SNORD3C,127
SNORD58C,128
SNORD110,129
SNORD45A,130
SNORD14E,131
SNORD82,132
SNORD42B,133
SNORD18C,134
SNORD67,135
snoRNA U50,136
U3_chr8_98370493_98370702,137
SNORA58,138
SNORD5,139
SNORD3B-1,140
SNORD102,141
SNORD114-2,142
SNORD114-14,143
SNORD114-23,144
SNORD3B-2,145
SNORD99,146
SNORD47,147
SNORD14D,148
SNORD83B,149
SNORD43,150
SNORD18B,151
SNORD74,152
SNORD-115,153
U3_chr8_124192551_124192765,154
SNORD11,155
SNORD3P3,156
SNORD79,157
SNORD36B,158
SNORD38B,159
SNORA71A,160
HBII-52,161
SNORD114-13,162
SNORD116-25,163
SNO125774,164
SNORD98,165
SNORD83A,166
SNORD27,167
SNORD18A,168
SNORD-114,169
SNORD114.1,170
SNORA17A,171
SNORD88C,172
U3_chr2_114763018_114763232,173
SNORD12,174
SNORD14A,175
SNORD118,176
SNORD37,177
SNORD38A,178
SNORD60,179
SNORD114-12,180
SNORD116-21,181
SNO135497,182
SNORD14C,183
SNORD15B,184
SNORD28,185
SNORD21,186
snoR-8966.1,187
SNORD95,188
SNORD113.8,189
SNORA9,190
SNORD88A,191
U8_chr5_15110895_15111029,192
SNORD1C,193
SNO141370,194
SNORD24,195
SNORD45C,196
SNORD46,197
SNORD113-8,198
SNORD61,199
SNORD114-11,200
SNORD116-20,201
SNORD114-21,202
SNO135394,203
SNORD51,204
SNORD121B,205
SNORD117,206
SNORD65,207
SNORD20,208
SNORD75,209
snoR-6253.1,210
SNORD2,211
SNORD113.6,212
SNORD103C,213
U8_chr11_123172098_123172231,214
SNORD1B,215
SNORD13,216
SNORD80,217
SNORD113-7,218
SNORD34,219
SNORD36,220
SNORD116-16,221
SNORD57,222
SNORD114-20,223
SNORD19B,224
SNORD114-29,225
SNORD35B,226
SNORD124,227
SNORD112,228
SNORD62B,229
SNORA73A,230
SNO1571138,231
SNORD77,232
SNORD113.2,233
SNORD10,234
SNORD84,235
SNORD92,236
U8_chr1_234729021_234729148,237
SNORD1A,238
SNORD7,239
SNORD113-6,240
SNORD35A,241
SNORD18,242
SNORD62A,243
SNORD114-9,244
SNORD116-3,245
SNORD58A,246
SNORD125,247
SNORD114-28,248
SNO139292,249
SNORD111,250
SNORD105,251
SNORD41,252
SNORD59B,253
SNORD15A,254
SNORD70,255
SNORD112-114,256
SNORD91B,257
U3_chrX_70065931_70066145,258
SNORA50C,259
SNO1408217,260
SNORD6,261
SNORD101,262
SNORD58,263
SNORD114-5,264
SNORD116-2,265
SNORD58B,266
SNORD114-26,267
SNORD127,268
SNORD49A,269
SNORD3D,270
SNORD104,271
SNORD42A,272
SNORD25,273
SNORA25,274
snoU13,275
SNORA50A,276
SNORD115-31,277
SNORD96B,278
SNORA70D,279
SNORA41,280
SNHG1:59,281
SNORA66,282
SNHG19:3,283
SNHG3:5,284
SNHG5:5,285
SNHG1:1,286
SNHG1:25,287
SNHG1:44,288
SNORA68,289
SNORD115-2,290
SNORA40,291
AABR07045373.2,292
SNORD45,293
U58C,294
SNORA48,295
SNHG22:3,296
SNORA30,297
SNHG8:14,298
SNHG1:4,299
SNORA49,300
SNORA32,301
SNORA63,302
AABR07021972.1,303
snoU2_19,304
SNHG16:42,305
U105B,306
SNORA33,307
AABR07000658.1,308
SNORA22,309
SNORA64,310
SNHG1:12,311
SNORA56,312
SNORA80A,313
SNORA3B,314
SNHG1:57,315
SNORA67,316
SNHG5:47,317
SNORD121A,318
SNHG21:29,319
SNORA8,320
mgU12-22/U4-8,321
SNHG6:15,322
SNORA27,323
SNORA70B,324
SNHG1:34,325
SNORA70,326
SNORA15,327
SNORA53,328
SNHG1:63,329
SNORA26,330
SNORA51,331
SNORD115-28,332
SNORA77,333
SNHG1:60,334
SNORA23,335
SNORA36C,336
AF357425,337
SNORD116-27,338
14q(II-12),339
SNORA55,340
SNORA62,341
SNORD17,342
ECABCGRLG0000002980,343
SNORA60,344
SNORD116-29,345
SNORD113-9,346
SNORA71C,347
SNORD114-6,348
SNORD62,349
SNORD116-5,350
SNORA81,351
SNORA5A,352
SNORD23,353
ECABCGRLG0000008090,354
SNORA13,355
SNORA5C,356
snoR38,357
SNORA3A,358
SNORA14A,359
U3_chr10,360
SNORA11B,361
SNORD42,362
snord96,363
SNORD29,364
SNORD115-23,365
ECABCGRLG0000002800,366
SNORD116-28,367
SNORD114-4,368
SNORD32A,369
SNORA80E,370
SNORD116-4,371
SNORD64,372
SNORA59B,373
SNORA70F,374
SNORA4,375
ECABCGRLG0000008070,376
SNORA73B,377
SNORA75,378
SNORA5B,379
SNORD111B,380
SNORA21,381
SNORA12,382
U14A,383
SNORA16B,384
SNORA69,385
SNORD15,386
SNORD115-21,387
ECABCGRLG0000000640,388
SNORD36C,389
SNORD115-42,390
SNORA37,391
SNORD103B,392
AF357428,393
SNORA29,394
ECABCGRLG0000007680,395
SNORD11B,396
U3_chrX,397
SNORA47,398
SNORD116-24,399
snoU2-30,400
SNORA54,401
SNORD115-16,402
ACEAU3,403
SNORD115-40,404
SNORA74B,405
SNORA74A,406
SNORD50,407
SNORD114-31,408
SNORD116-15,409
SNORA11E,410
SNORD88B,411
ECABCGRLG0000007010,412
RNU105B,413
RNU8,414
SNORD71,415
U3_chr9,416
SNORA46,417
SNORD100,418
ENSG00000263442,419
SNORD115-15,420
14qII-22,421
SNORD30,422
SNORD115-33,423
SNORA36B,424
snora71,425
SNORA20,426
SNORA70E,427
SNORD103A,428
SNORA28,429
ECABCGRLG0000006050,430
RNU11-201,431
SNORA2B,432
SNORD91A,433
U3_chr8-2,434
SNORA80B,435
SNORD115-13,436
14qII-12,437
SNORA36A,438
SNORA71D,439
SNORA79,440
SNORA44,441
SNORD116-14,442
SNORD108,443
ECABCGRLG0000005680,444
SNORA1,445
SNORD109,446
U3_chr8-1,447
SNORD116-23,448
SNORA6,449
SNORD115-10,450
14qI-4,451
SNORA78,452
SNORD116-9,453
SNORA18,454
ECABCGRLG0000004470,455
HBII-108B,456
SNORD 114-1,457
SNORA14B,458
U3_chr2,459
Snord16a,460
SNORD116-22,461
SNORD115-8,462
14q(II-14),463
ECABCGRLG0000003960,464
SNORA35,465
SNORD116-6,466
SNORD45B,467
ENSG00000207118,468
U3_chr14,469
SNORA11C,470
